"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Burgenland";"Bad Tatzmannsdorf";"Zwangsarbeiterlager für ungarische Juden Bad Tatzmannsdorf";"Zwangsarbeiter. 1. 4. 1945 Erstnennung als Männerlager, aber Lagerareal noch nicht lokalisierbar";"KG Bad Tatzmannsdorf, 34007";"";"16,2298589, 47,3324521";"http://www.deutschland-ein-denkmal.de/ded/database/detailViewFromSelection?reqEntryId=3390"
"Burgenland";"Baumgarten";"Panzergraben Urbarialwald";"Arbeitsstätte von Zwangsarbeitern. Besterhaltenes Teilstück des von Zwangsarbeitern und KZ-Häftlingen etc. erbauten Panzergrabens des Südostwalles";"KG Baumgarten, 30102. Urbarialwald";"";"16,4898424, 47,7255862";""
"Burgenland";"Bruckneudorf";"Kriegsgefangenenlager/Zwangsarbeiterlager Kaisersteinbruch";"Kriegsgefangene und Zwangsarbeiter. STALAG XVII A, zuerst auch DULAG. Bereits im 1. Weltkrieg Lager";"KG Kaisersteinbruch, 32013. Uchatiusstraße";"1, 3, 116 (ehemaliges Kriegsgefangenenlazarett), 178/2 (Teil), 178/4, 181/28, 462/2, 454/1, 457/2 (Teil), 463 (?), 465/22";"16,708063, 47,989015";"Speckner 1995; Speckner 2003, 217–227"
"Burgenland";"Bruckneudorf";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiterlager. Im isolierten Hof ein „Krankenlager“?";"KG Bruckneudorf, 32003. Heidehof";"1811, 1812, 1813, 1814, 1815";"16,844895, 48,013587";"https://www.forschenunderinnern-burgenland.at/index.php/bruckneudorf"
"Burgenland";"Deutsch Schützen-Eisenberg";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl etwa 500. Am 28. März 1945 Massaker von Deutsch Schützen. Zwei ehemalige Getreidespeicher, von denen einer erst nach 2000 abgebrochen wurde";"KG Deutsch Schützen, 34012";"1222/1, 1222/5 und weitere Grundstücke?";"16.449734, 47,168631";"Lappin-Eppel 2010, 314 ff. https://www.forschenunderinnern-burgenland.at/index.php/deutsch-schuetzen"
"Burgenland";"Deutschkreutz";"Zwangsarbeiterlager für ungarische Zwangsarbeiter";"Einsatz der Häftlinge bei der Gutsverwaltung Eszterházy, bei landwirtschaftlichen Arbeiten und beim Stellungsbau, Männer und Frauen. Schaflerhof der Gutsverwaltung Eszterházy";"KG Deutschkreutz, 33003";"4223";"16,6433885, 47,5997891";"https://www.forschenunderinnern-burgenland.at/index.php/deutschkreutz"
"Burgenland";"Donnerskirchen";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. Lager im heute erhaltenen, historischen Meierhof";"KG Donnerskirchen, 30002. Hauptstraße 57";"408/1";"16,641812, 47,897148";"https://www.forschenunderinnern-burgenland.at/index.php/donnerskirchen"
"Burgenland";"Eberau";"Zwangsarbeiterlager für ungarische Juden Eberau";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl etwa 500, Erschießungen wegen Fleckfiebererkrankungen. Untergebracht in Schule, Kutscherhof und Gesindehaus";"KG Eberau, 31006";"";"16,4618757, 47,1036308";"Szita 2004, 112–113"
"Burgenland";"Eisenstadt";"Eisenstadt Landhaus";"Gestapo-Arrest, 6 Menschen ermordet, März 1945";"KG Eisenstadt, 30003. Europaplatz 1";"574";"16,529607, 47,849735";"Schubert 2002, 32–33"
"Burgenland";"Eltendorf";"Zwangsarbeiterlager für ungarische Juden Eltendorf";"Zwangsarbeiterlager. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung in der sogenannten Buchmannmühle";"KG Eltendorf, 31106";"2118";"16,2129136, 46,9913151";"Szita 2004, 116"
"Burgenland";"Frauenkirchen";"Frauenkirchen „Schlössl“";"Internierungslager. Im März 1938 wird eine unbestimmte Anzahl burgenländischer Juden interniert";"KG Frauenkirchen, 32006. Kirchenplatz 1e";"546/1";"16,9272759, 47,8371566";"Brettl 2012, 326; Lidy 2014"
"Burgenland";"Halbturn";"Umsiedlerlager Halbturn";"Umsiedlerlager. Unterbringung von „Volksdeutschen“ aus Bessarabien, Bukowina, Banat und Dobrudscha";"KG Halbturn, 32009. Im Schloß 3";"1";"16,9732858, 47,8740296";"Brettl 2012, 363"
"Burgenland";"Halbturn";"Wittmannshof";"Arbeitsstätte von Zwangsarbeitern im Gutshof, 57 Kriegsgefangene und Ostarbeiter:innen im Gutshof";"KG Halbturn, 32009. Flur Wittmannshof";"3913";"17,0226684, 47,8839213";"Brettl 2012, 232"
"Burgenland";"Hannersdorf";"Zwangsarbeiterlager für ungarische Juden Woppendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall im Pfarrstadel außerhalb der Ortschaft, Anzahl 100–200";"KG Woppendorf, 34091";"";"16,3892897, 47,2070058";"Lappin-Eppel 2010, 312–313"
"Burgenland";"Heiligenbrunn";"Zwangsarbeiterlager für ungarische Juden Heiligenbrunn";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 100–200";"KG Heiligenbrunn, 31018";"";"16,4168324, 47,0271709";""
